grade,de,en,tr,article
A1,Falsch,Incorrect,Yanlış,Adjektiv
A1,Familie,family,aile,die
B1,Familienangehörigen,family members,aile üyeleri,-
B1,Familienfeier,Family celebration,Aile kutlaması,die
A2,Familienmitglied,family member,aile üyesi,das
A1,Familienname,family name,aile adı,der
A1,Familienstand,marital status,Medeni hal,der
B1,Familientreff,Family meeting,Aile toplantısı,-
A2,Fange,Catch,Yakalamak,-
A1,Fangen,Catch,Yakalamak,das
B1,Fantasie,fantasy,fantezi,die
A2,Fantastisch,Fantastic,Fantastik,-
B1,Farb,color,renk,-
B1,Farbe,Color,Renk,die
B1,Farbig,Colored,Renkli,-
A2,Farbstift,colored pencil,renkli kalem,der
B1,Faschiern,Carnival,Karnaval,-
B1,Fasching,carnival,karnaval,der
B1,Fasnacht,Carnival,Karnaval,die
B1,Fasnachtsumzug,Carnival parade,Karnaval geçit töreni,-
B1,Fassen,Grasp,Sıkı sıkı tutmak,das
A2,Fast,Almost,Neredeyse,-
A2,Faul,Lazy,Tembel,Adjektiv
B1,Faulenzen,Laze around,Tembellik etmek,das
,Faun,faun,faun,der
B1,Fauteuil,Armchair,Koltuk,der
B1,Faxt,Fax,Faks,-
B1,Feber,February,Şubat,der
A1,Februar,February,Şubat,der
A1,Fehlen,Miss,Kayıp,das
B1,Fehlend,Missing,Eksik,-
A1,Fehler,error,hata,der
A1,Feier,party,Parti,die
A1,Feierabend,end of work,işin sonu,der
A1,Feiern,Celebrate,Kutlamak,das
A1,Feiertag,holiday,tatil,der
A2,Feiertage,Holidays,Tatiller,-
B1,Feld,Field,Alan,das
A1,Fenster,window,pencere,das
A2,Ferien,Holidays,Tatiller,die
B1,Ferienapartment,Holiday apartment,Tatil dairesi,-
A2,Ferienjob,Holiday job,Tatil işi,der
B1,Ferienwohnung,Holiday apartment,Tatil dairesi,die
A2,Fern,Remote,Uzak,-
B1,Fernbedienung,Remote control,Uzaktan kumanda,die
A2,Ferngeseh,TV,TV,-
A2,Fernseh,TV,TV,-
B1,Fernsehapparat,TV,TV,der
A1,Fernsehen,television,televizyon,das
B1,Fernsehkanal,TV channel,televizyon kanalı,der
B1,Fernzusehen,Watching TV,TV izleme,-
,Ferrit,ferrite,ferrit,der
A1,Fertig,Ready,Hazır,Adjektiv
B1,Fertigen,Manufacture,imalat,das
B1,Fertigzumachen,Get ready,Hazır ol,-
A2,Fest,Firmly,Sıkıca,das
B1,Festgestand,Confession,İtiraf,-
B1,Festhalten,Hold onto,Tutunmak,das
A1,Festigung,Consolidation,Konsolidasyon,-
B1,Festlegen,Establish,Kurmak,das
B1,Festnehm,Arrest,Tutuklamak,-
B1,Festnetztelefon,Landline telephone,Sabit telefon,das
B1,Festplatt,hard drive,sabit disk,-
B1,Festsetz,Fix,Düzeltmek,-
B1,Festsetze,Fix,Düzeltmek,-
B1,Feststehen,Stand firm,Sağlam durun,das
B1,Feststellen,Notice,Fark etme,das
A2,Fett,Fat,Yağ,das
B1,Fettarm,Low fat,Az yağlı,-
B1,Feucht,Moist,Nemli,-
A1,Feuer,fire,ateş,das
B1,Feueralarm,Fire alarm,Yangın alarmı,der
B1,Feuerwehr,Fire department,İtfaiye,die
B1,Feuerwehrmennen,Firemen,İtfaiyeciler,-
B1,Feuerzeug,lighter,çakmak,das
A1,Fieber,fever,ateş,das
B1,Figur,figure,figür,die
A1,Fimilienstande,family status,aile durumu,-
B1,Fimilienstanden,Family statuses,Aile durumları,-
B1,Finanziell,Financially,Finansal olarak,-
B1,Finanzieren,Finance,Finans,das
A1,Finden,Find,Bulmak,das
B1,Fing,Fing,Parmak,-
B1,Finger,finger,parmak,der
B1,Fingernägel,fingernails,tırnaklar,-
A1,Finne,Finn,Finli,der
A1,Firma,Company,şirket,die
B1,Firmeneröffnung,Company opening,Şirket açılışı,-
A1,Fisch,fish,balık,der
B1,Fischer,Fisherman,Balıkçı,der
A2,Fit,Fit,Yerleştirmek,-
B1,Flach,Flat,Düz,das
A1,Flasche,bottle,şişe,die
B1,Fleck,spot,leke,der
A1,Fleisch,meat,et,das
B1,Fleischhauer,Butcher,Kasap,der
B1,Fleischhauerin,butcher,Kasap,-
A2,Fleißig,Diligent,Gayretli,-
B1,Flexibel,Flexible,Esnek,-
A1,Fliege,fly,Sinek,die
B1,Flieh,Flee,Kaçmak,-
B1,Fließen,Flow,Akış,das
B1,Fließend,Fluent,Akıcı,-
A2,Flohmarkt,Flea market,Bit pazarı,der
B1,Floss,Raft,Sal,-
B1,Flucht,Escape,Kaçmak,die
A2,Flug,Flight,Uçuş,der
A1,Flughafen,airport,Havaalanı,der
A1,Flugzeug,The plane,Uçak,das
B1,Flur,Hallway,Koridor,der
A2,Fluss,Flow,Akış,der
B1,Fläch,flat,düz,-
B1,Flüssigkeit,liquid,sıvı,die
B1,Folge,Consequence,Sonuçlar,die
A1,Folgen,consequences,sonuçları,das
B1,Folie,film,film,die
A1,Fordern,Demand,Talep etmek,das
B1,Forderung,Financial support,Mali destek,die
A1,Form,form,biçim,die
A1,Formular,form,form,das
B1,Forscher,Researcher,Araştırmacı,der
B1,Forschung,Research,Araştırma,die
B1,Fort,Cont,devam,das
B1,Fortbildung,Further training,İleri eğitim,die
B1,Fortschreiten,Progression,İlerleme,das
B1,Fortsetzen,Continue,Devam etmek,das
B1,Fortsetzung,Continuation,Devamı,die
A1,Foto,photo,fotoğraf,das
A2,Fotoapparat,Camera,Kamera,der
B1,Fotografie,photography,fotoğrafçılık,die
A2,Fotografieren,Photographing,Fotoğraf çekmek,das
B1,Fotografin,photographer,fotoğrafçı,-
B1,Fotogreffen,Photo meetings,Fotoğraf toplantıları,-
A2,Fotomach,Take a photo,Fotoğraf çek,-
B1,Frag,Ask,Sormak,-
A1,Frage,question,soru,die
A1,Fragen,questions,sorular,das
B1,Fragst,Ask,Sormak,-
B1,Francescos,Francesco,Francesco,-
A2,Franken,Franconia,Frankonya,der
A1,Frankfurt,Frankfurt,Frankfurt'ta,-
A1,Frankreich,France,Fransa,das
A1,Französisch,French,Fransızca,das
A1,Frau,woman,kadın,die
B1,Fraß,Eat,Yemek yemek,der
B1,Frech,Cheeky,Yüzsüz,Adjektiv
A1,Frei,Free,Özgür,Adjektiv
,Freie,Free,Özgür,die
B1,Freihalen,Freehold,Mülkiyet,-
B1,Freiheit,Freedom,Özgürlük,die
A1,Freitag,Friday,Cuma,der
A2,Freiwillig,Voluntarily,Gönüllü olarak,-
A1,Freizeit,free time,boş zaman,die
B1,Freizeitaktiv,Leisurely active,Yavaşça aktif,-
A1,Fremd,Foreign,Yabancı,Adjektiv
,Fremde,Strangers,Yabancılar,die
B1,Fremden,strangers,yabancılar,Verb
A1,Fremdsprache,foreign language,yabancı Dil,die
A2,Frequent,Frequently,Sıklıkla,Adjektiv
,Frequenz,frequency,sıklık,die
A1,Frequenzkriterium,frequency criterion,frekans kriteri,-
B1,Fressen,Eat,Yemek yemek,das
B1,Freude,Joy,Neşe,die
A1,Freuen,Be happy,Mutlu ol,das
A1,Freund,boyfriend,erkek arkadaş,der
A1,Freundin,girlfriend,kızarkadaş,die
A2,Freundlich,Friendly,Arkadaşça,-
A1,Freundlichen,Friendly,Arkadaşça,-
B1,Freundschaft,friendship,dostluk,die
B1,Fried,Fried,Kızarmış,-
B1,Frieden,Peace,Barış,der
B1,Frieren,Freeze,Dondur,das
A2,Frisch,Fresh,Taze,-
A2,Friseur,Barber,Berber,der
A2,Friseurin,Hairdresser,Kuaför,die
B1,Frisst,Eats,Yiyor,-
B1,Frist,deadline,son teslim tarihi,die
B1,Frisur,hairstyle,saç modeli,die
A1,Frites,Fries,Kızartma,-
A2,Froh,Glad,Memnun,-
B1,Fror,Frozen,Dondurulmuş,-
B1,Frucht,fruit,meyve,die
B1,Fröhlich,Cheerful,Neşeli,-
A1,Früh,Early,Erken,die
B1,Frühd,Early D,Erken D,-
B1,Frühdienst,Early shift,Erken vardiya,der
A1,Frühling,spring,ilkbahar,der
A1,Frühstück,breakfast,kahvaltı,das
B1,Frühstücke,Breakfasts,Kahvaltılar,-
B1,Frühstückte,Had breakfast,Kahvaltı yaptım,-
B1,Fundbüro,Lost property office,Kayıp eşya ofisi,das
A2,Fundsach,lost property,kayıp eşya,-
A2,Funktionieren,Function,İşlev,das
A2,Furchtbar,Terrible,Korkunç,-
A1,Fuß,foot,ayak,der
A1,Fußball,football,Futbol,der
A2,Fußballfan,Football fan,Futbol hayranı,-
B1,Fußballmannschaft,football team,futbol takımı,die
A2,Fußballspiel,Football game,Futbol oyunu,das
B1,Fußballspiele,Football games,Futbol oyunları,-
A2,Fußballspieler,football player,futbolcu,der
A2,Fußballteam,soccer team,futbol takımı,-
A2,Fußballtraining,Soccer training,Futbol antrenmanı,das
B1,Fußgänger,pedestrian,yaya,der
B1,Fußgängerin,Pedestrian,Yaya,die
B1,Fußgängerzon,Pedestrian zone,Yaya bölgesi,-
A1,Fähigkeit,Capability,Kabiliyet,die
B1,Fähr,Ferry,Feribot,-
A1,Fährst,Drive,Sürmek,-
B1,Fällen,cases,vakalar,das
B1,Fällig,Due,Vadesi dolmuş,-
B1,Fängst,Catch,Yakalamak,-
B1,Fördern,Support financially,Mali destek,das
B1,Förderung,Financial support,Mali destek,die
B1,Fügen,Add,Eklemek,das
B1,Fühl,Feel,Hissetmek,-
A2,Fühlen,Feel,Hissetmek,das
B1,Führen,Lead,Yol göstermek,das
A2,Führer,Leader,Lider,der
B1,Führerausweis,Driver's license,Ehliyet,-
A2,Führerschein,Driver's license,Ehliyet,der
A2,Führerscheinprüfung,Driving license test,Ehliyet testi,die
A1,Führung,leadership,liderlik,die
A2,Füll,fill,doldurmak,-
A1,Fülle,this abundance,bu bolluk,die
A2,Füllen,Fill,Doldurmak,das
A1,Fünf,Five,Beş,die
B1,Fünfer,Fives,Beşler,der
B1,Fünfter,Fifth,Beşinci,-
A2,Fünfundfünfzig,Fifty-five,Elli beş,-
A1,Fünfundzwanzig,Twenty-five,Yirmi beş,-
A1,Fünfzehn,Fifteen,On beş,-
A1,Fünfzig,Fifty,Elli,die
A1,Für,For,İçin,-
B1,Fürchten,Fear,Korku,das
B1,Füttern,Feed,Beslemek,das
A2,Gabel,Fork,Çatal,die
B1,Galerie,gallery,galeri,die
,Gand,Gand,Gand,die
A2,Gang,gear,vites,der
A1,Ganz,Quite,Epeyce,Adjektiv
A2,Gar,Even,Eşit,-
A2,Garage,garage,garaj,die
B1,Garantie,guarantee,garanti,die
B1,Garantieren,Guarantee,Garanti,das
B1,Garderobe,wardrobe,gardırop,die
A1,Garten,garden,Bahçe,der
B1,Gas,gas,gaz,das
A1,Gast,guest,misafir,der
B1,Gastgeber,host,ev sahibi,der
B1,Gasthaus,Inn,Han,das
B1,Gaststätte,restaurant,restoran,die
A1,Geben,Give,Vermek,das
B1,Gebiet,Area,Alan,das
B1,Gebirge,Mountains,Dağlar,das
B1,Gebissen,Bitten,Isırıldı,-
A2,Gebrat,Fried,Kızarmış,-
B1,Gebratenen,Fried,Kızarmış,-
B1,Gebrauch,use,kullanmak,der
B1,Gebrauchen,Use,Kullanmak,das
B1,Gebrauchsanweisung,Instructions for use,Kullanım talimatları,die
A1,Gebrauchsartikel,consumer article,tüketici makalesi,der
A2,Gebrauchskontext,Context of use,Kullanım bağlamı,-
B1,Gebräuchlich,Common,Yaygın,-
A2,Geburt,birth,doğum,die
A1,Geburtsdatum,date of birth,doğum tarihi,das
A1,Geburtsjahr,year of birth,doğum yılı,das
A1,Geburtsort,birthplace,doğum yeri,der
A1,Geburtstag,birthday,doğum günü,der
B1,Geburtstagsfeier,birthday party,doğum günü partisi,die
B1,Geburtstagsparty,Birthday party,Doğum günü partisi,die
B1,Geburtstagstisch,Birthday table,Doğum günü masası,-
B1,Gebäck,pastries,hamur işleri,das
A1,Gebären,Give birth,Doğurmak,das
A2,Gebäude,Building,Bina,das
B1,Gebühr,fee,ücret,die
B1,Gedanke,Thought,Düşünce,der
B1,Geduld,patience,sabır,die
B1,Gefahr,Danger,Tehlike,die
B1,Gefangen,Caught,Yakalanmış,-
B1,Gefaxt,Faxed,Fakslandı,-
B1,Gefress,Eaten,Yemiş,-
B1,Gefroren,Frozen,Dondurulmuş,-
A2,Gefährlich,Dangerous,Tehlikeli,-
B1,Gefängnis,Jail,Hapishane,das
B1,Gefühl,Feeling,His,das
A1,Gegen,Against,Aykırı,-
B1,Gegend,Area,Alan,die
B1,Gegensatz,contrast,zıtlık,der
B1,Gegenstand,Object,Nesne,der
A2,Gegenteil,Opposite,Zıt,das
A2,Gegenüber,Opposite,Zıt,das
A2,Gegessen,Eaten,Yemiş,-
B1,Gegner,Opponent,Rakip,der
B1,Gegnerin,opponent,rakip,die
B1,Gegossen,Poured,Dökülmüş,-
A2,Gehalt,Salary,Maaş,das
A2,Gehange,hung,asılı,-
B1,Gehangen,Hung,Asılı,-
B1,Geheim,Secret,Gizli,Adjektiv
B1,Geheimnis,Secret,Gizli,das
,Geheiß,behest,emir,das
A1,Gehen,Go,Gitmek,das
A2,Gehst,Go,Gitmek,-
B1,Gehsteig,pavement,kaldırım,der
A2,Geht's,It's okay,Sorun değil,-
B1,Gehupt,Horned,Boynuzlu,-
A1,Gehören,Belong,Ait olmak,das
B1,Geig,Violin,Keman,-
A2,Gejoggt,Jogging,Hafif koşu,-
B1,Geklungen,Sounded,Ses verildi,-
B1,Gekom,Come,Gelmek,-
A1,Gelb,Yellow,Sarı,das
A1,Geld,money,para,das
B1,Geldautomat,ATM,ATM,der
A2,Geldbörse,Wallet,Cüzdan,die
B1,Geldschein,banknote,banknot,der
B1,Geldstrafe,Fine,İyi,die
B1,Gelegenheit,Opportunity,Fırsat,die
A2,Geliehen,Borrowed,Ödünç alındı,-
B1,Gelingen,Succeed,Başarmak,das
B1,Gelitten,Suffered,Acı çektim,-
A2,Gelogen,Lie,Yalan,-
A2,Gelten,Apply,Uygula,das
B1,Gemeinde,Community,Toplum,die
A1,Gemeinsam,common,ortak,Adjektiv
B1,Gemeinschaft,Community,Toplum,die
B1,Gemeinschaftlich,Communal,ortak,-
B1,Gemeinschafts,Community,Toplum,-
B1,Gemeinschaftsprodukt,Community product,Topluluk ürünü,-
A1,Gemüse,vegetable,sebze,das
B1,Gemüsehändle,Vegetable shop,Sebze dükkanı,-
B1,Gemüsesuppe,Vegetable soup,Sebze çorbası,die
B1,Gemütlich,Cozy,Samimi,-
A2,Genau,Exactly,Kesinlikle,-
B1,Genaues,Exact,Bire bir aynı,-
B1,Genauso,Just as,tıpkı,-
B1,Genblick,Gene view,Gen görünümü,-
B1,Genehmig,Approved,Onaylı,-
B1,Genehmigen,To permit,İzin vermek,das
B1,Generation,generation,nesil,die
B1,Genießen,Enjoy,Eğlence,das
B1,Genoss,Comrade,Yoldaş,-
A2,Genug,Enough,Yeterli,-
B1,Genügen,Suffice,Yeterli,das
B1,Genügend,Enough,Yeterli,-
A2,Geografie,geography,coğrafya,die
A2,Georgiakaki,Georgia kaki,Gürcistan kaki,-
A1,Gepäck,luggage,bagaj,das
A1,Gerade,Straight,Dümdüz,die
A1,Geradeaus,Straight ahead,Dosdoğru,-
A2,Geraten,Advised,Tavsiye edildi,das
A2,Gerbe,Tanner,Tanner,-
B1,Gerecht,Just,Sadece,-
A2,Gericht,Court,Mahkeme,das
B1,Gerichtssaal,Courtroom,Mahkeme salonu,der
B1,Gering,Small amount,Küçük miktar,-
B1,Gerite,Gerites,Geritler,-
A1,Gerne,Gladly,Memnuniyetle,-
A2,Geroch,Smelled,Koktu,-
B1,Geräts,device,cihaz,-
B1,Geräusch,noise,gürültü,das
A2,Gesamtkoordination,Overall coordination,Genel koordinasyon,-
B1,Gesamtschul,Comprehensive school,Kapsamlı okul,-
B1,Gesamtsummen,Totals,Toplamlar,-
B1,Gesandt,Sent,Gönderilmiş,-
,Gesang,singing,şarkı söylemek,der
B1,Geschehen,Happen,Olmak,das
A1,Geschenk,gift,hediye,das
A2,Geschichte,Story,Hikaye,die
A2,Geschien,Appeared,Göründü,-
A2,Geschirr,Dishes,Bulaşıklar,das
A1,Geschlecht,gender,Cinsiyet,das
B1,Geschlos,Closed,Kapalı,-
B1,Geschmack,The taste,Tadı,der
A2,Geschneit,Snowed,Kar yağdı,-
A2,Geschnitten,Cut,Kesmek,-
A1,Geschriebenen,written,yazılı,-
B1,Geschrien,Yelled,bağırdı,-
B1,Geschwindigkeit,speed,hız,die
B1,Geschwindigkeitsbeschränkung,Speed ​​limit,Hız sınırı,-
A1,Geschwister,siblings,Kardeşler,das
A1,Geschäft,business,iş,das
B1,Geschäftsmann,Businessman,İşadamı,der
B1,Geschäftspartner,Business partner,İş ortağı,der
A2,Geschäftsreis,business trip,iş gezisi,-
B1,Gesellschaft,Company,Şirket,die
B1,Gesetz,Law,Kanun,das
A2,Gesetzlich,Legally,Yasal olarak,-
A2,Gesicht,Face,Yüz,das
B1,Gesprungen,Jumped,Atladı,-
A1,Gespräch,that conversation,o konuşma,das
A2,Gestaltung,Design,Tasarım,die
B1,Gestatten,Allow,İzin vermek,das
A1,Gestern,Yesterday,Dün,das
B1,Gestochen,Stung,Stung,-
B1,Gestunken,Stunk,Stunk,-
A2,Gesund,Healthy,Sağlıklı,-
B1,Gesunden,Healthy people,Sağlıklı insanlar,Verb
A2,Gesundheit,Health,Sağlık,die
A1,Getränk,drink,içecek,das
B1,Getränkeautomat,Drinks vending machine,İçecek otomatı,der
B1,Gewalt,Violence,Şiddet,die
A2,Gewerblich,Commercial,Reklam,-
B1,Gewerkschaft,union,birlik,die
B1,Gewichen,Gone,Gitmiş,-
A1,Gewicht,weight,ağırlık,das
B1,Gewinn,Profit,Kâr,der
A1,Gewinnen,Win,Kazanç,das
B1,Gewinnspiel,competition,yarışma,das
B1,Gewisch,Whisk,Hızla çıkarmak,-
A2,Gewitter,Thunderstorm,Fırtına,das
B1,Gewiß,Certainly,Kesinlikle,-
B1,Gewogen,Weighed,Tartılmış,-
A1,Gewohnheit,habit,alışkanlık,die
B1,Gewöhnen,Get used to,alışmak,das
B1,Gewöhnlich,Usually,Genellikle,-
B1,Gewürz,spice,baharat,das
A2,Geöffnetoft,Openoften,Sık sık aç,-
A1,Gib,Give,Vermek,-
A2,Gibst,Give,Vermek,-
B1,Gibt,Gives,verir,-
B1,Giesse,Pour,Dökün,-
B1,Gießen,Pour,Dökün,das
B1,Gift,Poison,Zehir,das
B1,Giftig,Poisonous,Zehirli,-
B1,Giraff,Giraffe,Zürafa,-
B1,Girokonto,checking account,çek hesabı,das
A2,Gitarre,guitar,gitar,die
B1,Glace,Ice cream,Dondurma,die
B1,Glacé,Ice cream,Dondurma,der
A1,Glas,glass,cam,das
B1,Glatt,Smooth,Düz,-
A2,Glaub,Believe,İnanmak,-
A1,Glauben,Believe,İnanmak,der
A2,Glaubst,Believe,İnanmak,-
A1,Gleich,Same,Aynı,Adjektiv
B1,Gleichberechtigt,Equal,Eşit,-
,Gleiche,Same,Aynı,die
A2,Gleichfalls,The same,Aynısı,-
B1,Gleichzeitig,At the same time,Aynı zamanda,-
A1,Gleis,track,parça,das
B1,Global,Global,Küresel,-
A1,Glück,happiness,mutluluk,das
A1,Glücklich,Happy,Mutlu,Adjektiv
A1,Glückwunsch,congratulation,tebrik,der
B1,Goethestraße,Goethestrasse,Goethestrasse,die
B1,Gold,Gold,Altın,das
B1,Golden,Golden,Altın,-
B1,Golfspiel,Golf game,Golf oyunu,-
B1,Googel,Google,Google,-
B1,Googeln,Googling,Google'da arama,das
B1,Googelt,Googled,Google'da arama yapıldı,-
B1,Gott,God,Tanrı,der
A1,Grad,degree,derece,der
A1,Gramm,gram,gram,das
A2,Grammatikübungen,Grammar exercises,Gramer egzersizleri,-
A2,Graphik,Graphics,Grafik,die
B1,Gras,grass,çimen,das
B1,Gratis,Free,Özgür,-
A1,Gratulation,Congratulations,Tebrikler,die
A2,Gratuliert,Congratulations,Tebrikler,-
A1,Grau,Gray,Gri,das
B1,Greif,Gripping,sürükleyici,der
B1,Greifen,Grab,Yakalamak,das
B1,Grenze,Border,Sınır,die
B1,Griech,Greek,Yunan,-
B1,Griechenland,Greece,Yunanistan,das
B1,Griechin,Greek,Yunan,die
B1,Griechisch,Greek,Yunan,das
B1,Grill,grill,ızgara,der
,Grille,cricket,kriket,die
A1,Grillen,grilling,ızgara yapmak,das
B1,Grillieren,Grilling,Izgara,Verb
B1,Grilliert,Grilled,Izgara,-
A2,Grillt,Grills,Izgaralar,-
B1,Grinsen,Grin,Sırıtış,das
A2,Grippe,flu,nezle,die
A1,Groß,Large,Büyük,-
A1,Großeltern,grandparents,büyükanne ve büyükbaba,die
A1,Großmutter,grandmother,Nene,die
A1,Großvater,grandfather,Büyük baba,der
B1,Grund,Reason,Sebep,der
A1,Grundbaustein,basic building block,temel yapı taşı,der
A1,Grundlage,basis,"esas, baz, temel",die
B1,Grundschule,Primary school,İlkokul,die
A1,Grundstock,foundation,kuruluş,-
B1,Grundstück,Property,Mülk,das
A1,Gruppe,group,grup,die
A1,Gruß,greeting,selamlama,der
A1,Größe,Size,Boyut,die
A1,Grün,Green,Yeşil,das
B1,Gründen,Found,Kurmak,das
B1,Gründlich,Thorough,Kapsamlı,-
B1,Grüßen,Greet,Selamlaşmak,das
B1,Grüßt,Greetings,Selamlar,-
B1,Grüßte,Greetings,Selamlar,-
B1,Guck,Look,Bakmak,-
B1,Gucken,Look,Bakmak,das
B1,Guckt,Look,Bakmak,-
B1,Guess,Guess,Tahmin etmek,-
,Gulag,Gulag,Gulag,der
,Gunst,favor,iyilik,die
A1,Gut,Good,İyi,das
B1,Gymnasium,High school,Lise,das
B1,Gymnastik,gymnastics,jimnastik,die
B1,Gänge,Gears,Dişliler,-
A1,Gültig,Valid,Geçerli,Adjektiv
A1,Günstig,Cheap,Ucuz,Adjektiv
A1,Haar,hair,saç,das
A2,Hab,Have,Sahip olmak,-
A1,Haben,Have,Sahip olmak,das
B1,Hackfleisch,minced meat,kıyma,das
B1,Hafen,Harbor,Liman,der
B1,Hageln,Hail,Dolu,das
A1,Halb,Half,Yarım,Adjektiv
A1,Halbpension,half board,yarım pansiyon,die
B1,Halbtags,Half day,Yarım gün,-
B1,Halbtagsbeschäftigung,Half-time employment,Yarı zamanlı istihdam,-
,Half,Helped,yardımcı oldu,der
A1,Halle,hall,salon,die
B1,Hallenbad,Indoor swimming pool,Kapalı yüzme havuzu,das
A1,Hallo,Hello,Merhaba,das
A2,Hals,Neck,Boyun,der
A2,Halsschmerz,Sore throat,Boğaz ağrısı,der
B1,Halt,Stop,Durmak,der
B1,Haltbar,Durable,Dayanıklı,-
A1,Halten,Hold,Tutmak,das
A1,Haltestelle,stop,dur,die
B1,Haltestellen,Stops,Duraklar,-
B1,Hammer,hammer,çekiç,der
A1,Hand,hand,el,die
B1,Handarbeit,Handcrafted,El işi,die
A1,Handbuch,manual,kullanım kılavuzu,das
B1,Handel,Trade,Ticaret,der
A1,Handeln,Act,Davranmak,das
B1,Handtasch,handbag,çanta,-
A2,Handtuch,Hand towel,El havlusu,das
A2,Handtüch,towel,havlu,-
A2,Handwerker,Handyman,Tamirci,der
A2,Handwerkerin,craftswoman,zanaatkar kadın,die
A1,Handy,phone,telefon,das
A2,Handynumm,Cell phone number,Cep telefonu numarası,-
A1,Handys,cellphones,cep telefonları,-
A1,Hans,Hans,Hanlar,der
B1,Harriett,Harriett,Harriet,-
A2,Hart,Hard,Zor,-
B1,Hase,Hare,tavşan,der
B1,Hasen,Bunnies,tavşanlar,-
B1,Hass,hate,nefret,der
B1,Hassen,Hate,Nefret,das
B1,Hasst,Hates,Nefret,-
B1,Hasste,Hated,Nefret edilen,-
,Haufen,heap,yığın,der
A1,Haupt,Main,Ana,das
B1,Hauptbahnhof,Central station,Merkez istasyon,der
A2,Hauptbahnhöfe,Main train stations,Ana tren istasyonları,-
B1,Hauptgewinn,Grand prize,Büyük ödül,-
B1,Hauptrolle,Main role,Ana rol,die
B1,Hauptschule,secondary school,ortaokul,die
A2,Hauptstadt,Capital city,Başkent,die
B1,Hauptstraße,Main Street,Ana Cadde,die
A1,Haus,house,ev,das
B1,Hausarbeit,Housework,Ev işi,die
B1,Hausarzt,Family doctor,Aile doktoru,der
A2,Hausauf,Home,Ev,-
A1,Hausaufgabe,homework,ev ödevi,die
B1,Hausbewohner,residents,sakinleri,der
A1,Hausfrau,housewife,ev hanımı,die
A1,Haushalt,household,ev halkı,der
A2,Hausmeister,Building supervisor,Bina sorumlusu,der
B1,Hausmeisterin,caretaker,bekçi,die
A1,Hausnummer,house number,ev numarası,die
B1,Hausordnung,House rules,Ev kuralları,die
B1,Haustier,pet,evcil hayvan,das
A1,Haustür,front door,ön kapı,die
B1,Haut,skin,deri,die
B1,He,Hey,Hey,-
B1,Heb,Heb,İbranice,-
B1,Heben,Lift,Kaldırmak,das
A2,Hector,Hector,Hektor,-
A2,Heft,Notebook,Defter,das
B1,Heim,Home,Ev,das
A1,Heimat,homeland,Vatan,die
A2,Heimatland,homeland,vatan,das
B1,Heimlich,Secretly,Gizlice,-
B1,Heimweh,Homesickness,Ev hasreti,das
A1,Heiraten,Marry,Evlen,das
B1,Heizen,Heat,Sıcaklık,das
A2,Heizung,Heating,Isıtma,die
A2,Heiß,Hot,Sıcak,-
A1,Heißen,Be called,Olarak adlandırılabilir,Verb
B1,Held,hero,kahraman,der
B1,Heldin,heroine,kadın kahraman,die
A1,Helfen,Help,Yardım,das
A1,Hell,Bright,Parlak,Adjektiv
A2,Hellas,Hellas,Yunanistan,-
A2,Hellblau,Light blue,Açık mavi,-
B1,Hellblauen,Light blue,Açık mavi,-
,Helm,helmet,kask,der
B1,Helvetica,Helvetica,Helvetika,-
A2,Hemd,Shirt,Gömlek,das
B1,Hend,Hend,Hend,-
A1,Heranziehen,Pull in,İçeri çekmek,Verb
A2,Heraus,Out of here,buradan çık,-
B1,Herausfind,Find out,Anlamak,-
B1,Herausforderung,Challenge,Meydan okumak,die
A1,Herausgeben,Issue,Sorun,Verb
A2,Herausgeber,editor,editör,der
B1,Herauskommen,Coming out,Dışarı çıkıyor,Verb
A2,Herberge,hostel,pansiyon,die
A1,Herbst,autumn,sonbahar,der
A1,Herd,stove,soba,der
B1,Herder,Herder,Çoban,-
A2,Herein,In,İçinde,-
A1,Herkunft,origin,köken,die
A1,Herr,gentleman,centilmen,der
B1,Herrlich,Splendid,Görkemli,-
B1,Herrschen,Rule,Kural,das
A2,Herstellen,Produce,Üretmek,das
B1,Hersteller,Manufacturer,Üretici,der
A2,Hertie,Herty,Herty,die
A2,Herunter,Down,Aşağı,-
B1,Herunterfahren,Shutdown,Kapat,Verb
B1,Heruntergefahren,Shut down,Kapat,-
A2,Heruntergeladen,Downloaded,İndirildi,-
A2,Herunterlad,Download,İndirmek,-
B1,Herz,Heart,Kalp,das
A1,Herzlich,Heartfelt,Yürekten,Adjektiv
A1,Heute,Today,Bugün,das
A2,Heuteabend,Tonight,Bu akşam,-
A2,Heutean,Today,Bugün,-
A2,Heuteein,Today,Bugün,-
A2,Heuteeinen,One today,Bugün bir tane,-
A2,Heutegehen,Go today,Bugün git,-
A2,Heutegesehen,Seen today,Bugün görüldü,-
A2,Heutekeine,None today,Bugün yok,-
A2,Heuteleider,Unfortunately today,Ne yazık ki bugün,-
A2,Heutesehr,Today very,Bugün çok,-
A2,Heutesind,Today are,Bugün,-
A2,Heutezu,Today,Bugün,-
B1,Heutig,Today,Bugün,-
A1,Hier,Here,Burada,-
B1,Hierher,Here,Burada,-
B1,Hilf,Help,Yardım,-
A1,Hilfe,help,yardım,die
B1,Hilfsmittel,Aids,AIDS,das
B1,Hilfst,Helps,yardımcı olur,-
A2,Himmel,Heaven,Cennet,der
A1,Himmelsrichtung,direction of compass,pusulanın yönü,die
